seed,scenario_id,true_error,syndrome,candidate_count,baseline_correction,baseline_confidence,baseline_logical_risk,baseline_formal_logical_success,baseline_formal_logical_failure,baseline_residual,oracle_best_correction,oracle_best_logical_risk,oracle_best_formal_logical_success,oracle_best_formal_logical_failure,oracle_best_residual,qdsv_raw_correction,qdsv_raw_confidence,qdsv_raw_logical_risk,qdsv_raw_formal_logical_success,qdsv_raw_formal_logical_failure,qdsv_raw_residual,qdsv_guarded_correction,qdsv_guarded_confidence,qdsv_guarded_logical_risk,qdsv_guarded_formal_logical_success,qdsv_guarded_formal_logical_failure,qdsv_guarded_residual,raw_risk_delta,guarded_risk_delta,raw_logical_failure_delta,guarded_logical_failure_delta,raw_override_attempted,guarded_override_accepted,guarded_override_rejected,guarded_reason,raw_bad_override,guarded_bad_override,raw_successful_override,guarded_successful_override,evidence_insufficient_flag,qdsv_score_margin,timing_candidate_ms,timing_qdsv_ms,timing_total_ms
710001,0,XIIIIII,000001,14,XIIIIII,998,68,True,False,IIIIIII,XIIIIII,68,True,False,IIIIIII,XIIIIII,998,68,True,False,IIIIIII,XIIIIII,998,68,True,False,IIIIIII,0,0,0,0,False,False,False,same_as_baseline,False,False,False,False,False,323.8641736592714,11.745099998734077,3.9240000005520415,17.840700000306242
710001,1,IIIIIIX,000111,14,IIIIIIX,973,68,True,False,IIIIIII,IIIIIIX,68,True,False,IIIIIII,IIIIIIX,973,68,True,False,IIIIIII,IIIIIIX,973,68,True,False,IIIIIII,0,0,0,0,False,False,False,same_as_baseline,False,False,False,False,False,318.26565789995914,6.849199999123812,2.5777000009838957,11.259000000791275
710001,2,IIIIIZI,110000,14,IIIIIZI,956,68,True,False,IIIIIII,IIIIIZI,68,True,False,IIIIIII,IIIIIZI,956,68,True,False,IIIIIII,IIIIIZI,956,68,True,False,IIIIIII,0,0,0,0,False,False,False,same_as_baseline,False,False,False,False,False,321.1308762380679,8.152299998982926,2.481600000464823,12.458200000764919
710001,3,IIIIZII,101000,14,IIIIZII,993,68,True,False,IIIIIII,IIIIZII,68,True,False,IIIIIII,IIIIZII,993,68,True,False,IIIIIII,IIIIZII,993,68,True,False,IIIIIII,0,0,0,0,False,False,False,same_as_baseline,False,False,False,False,False,323.95320403176424,7.101999999576947,2.673099999810802,12.311599999520695
710001,4,IIZIIII,011000,14,IIZIIII,976,68,True,False,IIIIIII,IIZIIII,68,True,False,IIIIIII,IIZIIII,976,68,True,False,IIIIIII,IIZIIII,976,68,True,False,IIIIIII,0,0,0,0,False,False,False,same_as_baseline,False,False,False,False,False,320.7747547480966,6.456999999500113,3.367400000570342,12.056600000505568
710001,5,IIIZIII,100000,14,IIIZIII,1000,68,True,False,IIIIIII,IIIZIII,68,True,False,IIIIIII,IIIZIII,1000,68,True,False,IIIIIII,IIIZIII,1000,68,True,False,IIIIIII,0,0,0,0,False,False,False,same_as_baseline,False,False,False,False,False,321.74953984838305,7.160299999668496,2.642200000991579,11.84339999963413
710001,6,YIIIIII,001001,14,IIIIIYY,1000,276,False,True,YIIIIYY,YIIIIII,78,True,False,IIIIIII,YIIIIII,943,78,True,False,IIIIIII,YIIIIII,943,78,True,False,IIIIIII,198,198,1,1,True,True,False,accept_guarded_override,False,False,True,True,False,305.5519167635422,7.591899999169982,2.54760000098031,11.974499999269028
710001,7,IIIZIII,100000,14,IIZIIIZ,1000,256,False,True,IIZZIIZ,IIIZIII,68,True,False,IIIIIII,IIIZIII,960,68,True,False,IIIIIII,IIIZIII,960,68,True,False,IIIIIII,188,188,1,1,True,True,False,accept_guarded_override,False,False,True,True,False,300.9463260948015,6.7285000004631,2.5850999991234858,12.3609000002034
710001,8,IZIIIII,010000,14,YXYIIII,978,464,False,True,YYYIIII,IZIIIII,68,True,False,IIIIIII,IZIIIII,953,68,True,False,IIIIIII,IZIIIII,953,68,True,False,IIIIIII,396,396,1,1,True,True,False,accept_guarded_override,False,False,True,True,False,313.061605177896,6.50839999980235,2.4998000008054078,10.762300000351388
710001,9,IIIIIIX,000111,14,IIIIIIX,996,68,True,False,IIIIIII,IIIIIIX,68,True,False,IIIIIII,IIIIIIX,996,68,True,False,IIIIIII,IIIIIIX,996,68,True,False,IIIIIII,0,0,0,0,False,False,False,same_as_baseline,False,False,False,False,False,319.9351398483832,7.5409000000945525,2.519000001484528,11.83119999950577
