seed,scenario_id,true_error,syndrome,candidate_count,baseline_correction,baseline_confidence,baseline_logical_risk,baseline_formal_logical_success,baseline_formal_logical_failure,baseline_residual,oracle_best_correction,oracle_best_logical_risk,oracle_best_formal_logical_success,oracle_best_formal_logical_failure,oracle_best_residual,qdsv_raw_correction,qdsv_raw_confidence,qdsv_raw_logical_risk,qdsv_raw_formal_logical_success,qdsv_raw_formal_logical_failure,qdsv_raw_residual,qdsv_guarded_correction,qdsv_guarded_confidence,qdsv_guarded_logical_risk,qdsv_guarded_formal_logical_success,qdsv_guarded_formal_logical_failure,qdsv_guarded_residual,raw_risk_delta,guarded_risk_delta,raw_logical_failure_delta,guarded_logical_failure_delta,raw_override_attempted,guarded_override_accepted,guarded_override_rejected,guarded_reason,raw_bad_override,guarded_bad_override,raw_successful_override,guarded_successful_override,evidence_insufficient_flag,qdsv_score_margin,timing_candidate_ms,timing_qdsv_ms,timing_total_ms
510001,0,IYIII,1101,23,IYIII,986,50,True,False,IIIII,IYIII,50,True,False,IIIII,IYIII,986,50,True,False,IIIII,IYIII,986,50,True,False,IIIII,0,0,0,0,False,False,False,same_as_baseline,False,False,False,False,False,311.00544099378885,8.995000000140863,4.274199998690165,19.296100001156447
510001,1,IIZII,0010,23,IIZII,992,50,True,False,IIIII,IIZII,50,True,False,IIIII,IIZII,992,50,True,False,IIIII,IIZII,992,50,True,False,IIIII,0,0,0,0,False,False,False,same_as_baseline,False,False,False,False,False,310.66031055900623,4.24850000126753,3.88579999889771,10.309999999662978
510001,2,IIXII,1100,23,XIYIX,963,390,False,True,XIZIX,IIXII,50,True,False,IIIII,IIXII,958,50,True,False,IIIII,IIXII,958,50,True,False,IIIII,340,340,1,1,True,True,False,accept_guarded_override,False,False,True,True,False,304.0699627329193,5.592199999227887,3.726999999344116,11.445199999798206
510001,3,IIIIY,0111,23,IIIIY,939,50,True,False,IIIII,IIIIY,50,True,False,IIIII,IIIIY,939,50,True,False,IIIII,IIIIY,939,50,True,False,IIIII,0,0,0,0,False,False,False,same_as_baseline,False,False,False,False,False,303.15454534161495,4.019599999082857,3.6092999998800224,9.745400000610971
510001,4,IZIII,0101,23,IZIII,1000,50,True,False,IIIII,IZIII,50,True,False,IIIII,IZIII,1000,50,True,False,IIIII,IZIII,1000,50,True,False,IIIII,0,0,0,0,False,False,False,same_as_baseline,False,False,False,False,False,313.06307577639757,3.8426000010076677,3.726700000697747,9.600800000043819
510001,5,IIZII,0010,23,IIZII,994,50,True,False,IIIII,IIZII,50,True,False,IIIII,IIZII,994,50,True,False,IIIII,IIZII,994,50,True,False,IIIII,0,0,0,0,False,False,False,same_as_baseline,False,False,False,False,False,309.049701863354,4.04770000022836,3.5340999984327937,9.645400001318194
510001,6,IIIIX,0011,23,IIIIX,986,50,True,False,IIIII,IIIIX,50,True,False,IIIII,IIIIX,986,50,True,False,IIIII,IIIIX,986,50,True,False,IIIII,0,0,0,0,False,False,False,same_as_baseline,False,False,False,False,False,310.877249689441,3.808499999649939,3.5914999989472562,9.48439999956463
510001,7,IIIXI,0110,23,IIIXI,1000,50,True,False,IIIII,IIIXI,50,True,False,IIIII,IIIXI,1000,50,True,False,IIIII,IIIXI,1000,50,True,False,IIIII,0,0,0,0,False,False,False,same_as_baseline,False,False,False,False,False,313.06307577639757,4.748399998788955,3.689200000735582,10.670600000594277
510001,8,IIIIY,0111,23,IIIIY,1000,50,True,False,IIIII,IIIIY,50,True,False,IIIII,IIIIY,1000,50,True,False,IIIII,IIIIY,1000,50,True,False,IIIII,0,0,0,0,False,False,False,same_as_baseline,False,False,False,False,False,310.7556322981367,4.263800001353957,3.8585999991482822,10.131200000614626
510001,9,IXIII,1000,23,IXIII,1000,50,True,False,IIIII,IXIII,50,True,False,IIIII,IXIII,1000,50,True,False,IIIII,IXIII,1000,50,True,False,IIIII,0,0,0,0,False,False,False,same_as_baseline,False,False,False,False,False,311.78116273291926,3.773399999772664,3.8010000007488998,9.466699999393313
